"submission_date","state","tot_cases","conf_cases","prob_cases","new_case","pnew_case","tot_death","conf_death","prob_death","new_death","pnew_death","created_at","consent_cases","consent_deaths","consent_cases.boolean","consent_deaths.boolean","season"
2021-06-27,"DE",109682,102072,7610,25,6,1694,1549,145,0,0,2021-06-28,"Agree","Agree",TRUE,TRUE,"summer"
2020-02-19,"ID",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-05-14,"GU",8090,NA,NA,11,0,139,NA,NA,0,0,2021-05-15,"Not agree","Not agree",FALSE,FALSE,"spring"
2021-04-15,"WA",380585,NA,NA,1341,161,5362,NA,NA,5,0,2021-04-17,"N/A","N/A",NA,NA,"spring"
2021-06-16,"MD",461470,NA,NA,78,0,9740,9523,217,3,0,2021-06-18,"N/A","Agree",NA,TRUE,"spring"
2020-07-23,"NV",40140,39919,221,1263,1,735,NA,NA,5,0,2020-07-24,"Agree","",TRUE,NA,"summer"
2020-03-27,"VI",19,NA,NA,2,NA,0,NA,NA,0,NA,2020-03-26,"","",NA,NA,"spring"
2021-09-09,"ND",121849,109729,12120,632,168,1571,NA,NA,0,0,2021-09-10,"Agree","Not agree",TRUE,FALSE,"summer"
2020-02-06,"NC",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Agree","Agree",TRUE,TRUE,"winter"
2021-09-02,"MS",446863,261276,185587,3352,1981,8540,5817,2723,18,9,2021-09-03,"Agree","Agree",TRUE,TRUE,"summer"
2021-11-23,"MS",512200,293132,219068,265,125,10253,6866,3387,4,2,2021-11-24,"Agree","Agree",TRUE,TRUE,"fall"
2021-10-06,"ID",264661,210301,54360,1367,273,3040,2570,470,47,9,2021-10-07,"Agree","Agree",TRUE,TRUE,"fall"
2021-08-07,"ME",71501,52123,19378,137,53,901,851,50,0,0,2021-08-09,"Agree","Agree",TRUE,TRUE,"summer"
2020-09-06,"MS",89664,83653,6011,292,41,2952,2731,221,10,2,2020-09-08,"Agree","Agree",TRUE,TRUE,"summer"
2020-04-03,"WA",6559,NA,NA,433,0,284,NA,NA,23,0,2020-04-05,"N/A","N/A",NA,NA,"spring"
2021-10-09,"IN",984017,NA,NA,1573,0,16054,15535,519,79,7,2021-10-09,"Not agree","Agree",FALSE,TRUE,"fall"
2021-12-08,"MT",193277,159804,33473,272,99,2781,2781,0,4,0,2021-12-09,"Agree","Agree",TRUE,TRUE,"fall"
2020-07-05,"MI",130392,118412,11980,701,61,6349,6041,308,6,1,2020-07-06,"Agree","Agree",TRUE,TRUE,"summer"
2021-10-25,"MI",1255595,1112490,143105,8572,716,23366,21918,1448,28,1,2021-10-26,"Agree","Agree",TRUE,TRUE,"fall"
2020-03-02,"MI",27,27,0,13,0,1,0,1,1,1,2020-03-03,"Agree","Agree",TRUE,TRUE,"winter"
2021-11-06,"VT",38855,NA,NA,252,23,369,NA,NA,1,0,2021-11-08,"Not agree","Not agree",FALSE,FALSE,"fall"
2021-08-07,"NE",231248,NA,NA,151,0,2290,NA,NA,0,0,2021-08-09,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-07-03,"IN",46915,NA,NA,528,0,2665,2480,185,18,0,2020-07-03,"Not agree","Agree",FALSE,TRUE,"summer"
2022-01-06,"AL",959080,701865,257215,10885,3585,16814,13048,3766,26,10,2022-01-08,"Agree","Agree",TRUE,TRUE,"winter"
2020-07-18,"NE",22364,NA,NA,123,0,299,NA,NA,0,0,2020-07-20,"Not agree","Not agree",FALSE,FALSE,"summer"
2020-03-04,"GU",0,NA,NA,0,NA,0,NA,NA,0,NA,2020-03-26,"Not agree","Not agree",FALSE,FALSE,"winter"
2022-02-17,"VI",15255,NA,NA,9,0,108,NA,NA,0,0,2022-02-18,"","",NA,NA,"winter"
2021-03-25,"ME",49453,38246,11207,220,36,731,708,23,0,0,2021-03-27,"Agree","Agree",TRUE,TRUE,"spring"
2021-07-02,"IN",754724,NA,NA,407,0,13853,13429,424,8,0,2021-07-02,"Not agree","Agree",FALSE,TRUE,"summer"
2020-04-02,"MO",3088,NA,NA,269,0,51,NA,NA,12,0,2020-04-04,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-10-07,"IN",128227,NA,NA,1281,0,3724,3507,217,16,0,2020-10-07,"Not agree","Agree",FALSE,TRUE,"fall"
2020-08-26,"NV",66938,66666,272,258,5,1279,NA,NA,20,0,2020-08-27,"Agree","",TRUE,NA,"summer"
2021-06-03,"CA",3686689,3686689,0,773,0,62092,62092,0,48,0,2021-06-05,"Agree","Agree",TRUE,TRUE,"spring"
2021-06-07,"AL",544768,420587,124181,200,90,11433,9128,2305,7,3,2021-06-09,"Agree","Agree",TRUE,TRUE,"spring"
2020-10-25,"MS",118511,103656,14855,464,168,3603,3218,385,6,0,2020-10-27,"Agree","Agree",TRUE,TRUE,"fall"
2021-04-07,"NH",86935,NA,NA,425,173,1250,NA,NA,1,1,2021-04-08,"Not agree","Not agree",FALSE,FALSE,"spring"
2020-09-27,"IL",290419,287930,2489,1604,0,8845,8601,244,13,0,2020-09-28,"Agree","Agree",TRUE,TRUE,"fall"
2020-04-29,"IL",50355,50355,0,2253,0,2215,2215,0,90,0,2020-04-30,"Agree","Agree",TRUE,TRUE,"spring"
2021-11-10,"VI",7329,NA,NA,23,0,84,NA,NA,1,0,2021-11-11,"","",NA,NA,"fall"
2021-04-24,"VT",21053,NA,NA,65,0,239,NA,NA,0,0,2021-04-26,"Not agree","Not agree",FALSE,FALSE,"spring"
